AZTI-38	AZTI-39	AZTI-40	AZTI-41	AZTI-42	AZTI-43	CNRS-A1	CNRS-A2	CNRS-A3	CNRS-N1	CNRS-N2	CNRS-N3	CNRS-S1	CNRS-S2	CNRS-S3	CONISMA-1	CONISMA-2	CONISMA-3	CONISMA-4	CONISMA-5	CONISMA-6	CONISMA-7	IOBAS-ALA	IOBAS-CHEA	IOBAS-CHEB	IOBAS-KAM	KAUST-A1	KAUST-C1	KAUST-C2	KAUST-C3	KUCORPI-KAR	KUCORPI-PAL1	KUCORPI-PAL2	Class
0	4.52	0	0	0	0.55	11.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03	1.91	4.26	0	17.47	6491.37	13.6	0	1.52	5.25	2.76	Sipuncula
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21	0	0	0	0	0	0	Sipuncula
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Sipuncula
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14	0	0	0	0	0	Sipuncula
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77	0	0	0	0	0	Sipuncula
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93	0	0	0	0	Sipuncula
0	0	0	0	0	0	0	0	0	16.05	0	0	0	1.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sipuncula
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52	0	0	Porifera
0	0	0	0	0	0	0	0	0	0	0	0	1.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	2.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	0	0	0	0	0	1.52	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	0	0	0	0	0	0	0	0	0	0	0	1.52	0	2.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	0	0	0	0	0	0	0	0	0	0	0	0	1.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	0	0	0	0	0	35.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	0	0	0	0	0	0	0	0	0	1.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	0	0	0	0	0	0	3.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	0	0	0	0	0	0	0	0	0	0	3.61	0	0	1.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	0	0	0	0	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	0	0	0	0	0	0	0	0	0	0	0	6.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05	0	0	0	0	0	0	0	0	0	0	0	Porifera
0	0	0	0	6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Platyhelminthes
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0.65	0	0	0	117.24	35.45	35.7	1.51	0	0	0	0	0	0	0	Nemertea
