Partner	Site	Number	Taxon	Mass	ASU
AZTI	LEKEITO	43	Molluscs	2.45	LEKEITO43
AZTI	LEKEITO	43	Arthropods	1.32	LEKEITO43
AZTI	LEKEITO	43	Echinoderms	0.11	LEKEITO43
AZTI	LEKEITO	43	Annelids	0.71	LEKEITO43
AZTI	LEKEITO	43	Other	1.28	LEKEITO43
AZTI	PASAIA	38	Molluscs	1.11	PASAIA38
AZTI	PASAIA	38	Arthropods	21.62	PASAIA38
AZTI	PASAIA	38	Echinoderms	0.01	PASAIA38
AZTI	PASAIA	38	Annelids	1.1	PASAIA38
AZTI	PASAIA	38	Other	0.2	PASAIA38
AZTI	PASAIA	39	Molluscs	1.81	PASAIA39
AZTI	PASAIA	39	Arthropods	20.27	PASAIA39
AZTI	PASAIA	39	Echinoderms	0.06	PASAIA39
AZTI	PASAIA	39	Annelids	0.96	PASAIA39
AZTI	PASAIA	39	Other	0.25	PASAIA39
AZTI	ZUMAIA	40	Molluscs	0.71	ZUMAIA40
AZTI	ZUMAIA	40	Arthropods	0.43	ZUMAIA40
AZTI	ZUMAIA	40	Echinoderms	0.12	ZUMAIA40
AZTI	ZUMAIA	40	Annelids	0.74	ZUMAIA40
AZTI	ZUMAIA	40	Other	0.14	ZUMAIA40
AZTI	ZUMAIA	41	Molluscs	1.8	ZUMAIA41
AZTI	ZUMAIA	41	Arthropods	0.73	ZUMAIA41
AZTI	ZUMAIA	41	Echinoderms	0.37	ZUMAIA41
AZTI	ZUMAIA	41	Annelids	1.36	ZUMAIA41
AZTI	ZUMAIA	41	Other	0.11	ZUMAIA41
AZTI	ZUMAIA	42	Molluscs	1.24	ZUMAIA42
AZTI	ZUMAIA	42	Arthropods	0.49	ZUMAIA42
AZTI	ZUMAIA	42	Echinoderms	0.04	ZUMAIA42
AZTI	ZUMAIA	42	Annelids	1.9	ZUMAIA42
AZTI	ZUMAIA	42	Other	0.2	ZUMAIA42
CNRS	a	A1	Molluscs	3.43	aA1
CNRS	a	A1	Arthropods	1.23	aA1
CNRS	a	A1	Echinoderms	0.14	aA1
CNRS	a	A1	Annelids	0.95	aA1
CNRS	a	A1	Other	0.18	aA1
CNRS	a	A2	Molluscs	1.99	aA2
CNRS	a	A2	Arthropods	1.14	aA2
CNRS	a	A2	Echinoderms	0.49	aA2
CNRS	a	A2	Annelids	0.8	aA2
CNRS	a	A2	Other	0.32	aA2
CNRS	a	A3	Molluscs	2.55	aA3
CNRS	a	A3	Arthropods	1.19	aA3
