AZTI-38	AZTI-39	AZTI-40	AZTI-41	AZTI-42	AZTI-43	CNRS-A1	CNRS-A2	CNRS-A3	CNRS-N1	CNRS-N2	CNRS-N3	CNRS-S1	CNRS-S2	CNRS-S3	CONISMA-1	CONISMA-2	CONISMA-3	CONISMA-4	CONISMA-5	CONISMA-6	CONISMA-7	IOBAS-ALA	IOBAS-CHEA	IOBAS-CHEB	IOBAS-KAM	KAUST-A1	KAUST-C1	KAUST-C2	KAUST-C3	KUCORPI-KAR	KUCORPI-PAL1	KUCORPI-PAL2	class
4.15	0	0	0	1.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	annelida
0	0	0	0	0	0	0	1.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	annelida
0	0	0	0	0	0	0	0	0	0	0	0	0	2.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	annelida
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16	0	0	0	0	0	0	0	0	annelida
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63	0	0	0	0	0	0	0	0	annelida
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.95	1.76	0	0	0	0	0	0	0	0	oligochaeta
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22	26.4	0	oligochaeta
109.75	0	0	5.8	0	2.28	0	0	0.79	0	0	0	0	8.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	polychaeta
0	0	1.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	polychaeta
0	0	0	2.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	polychaeta
0	0	0	0	0	9.84	0	0	0	0	0	0	0	8.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	polychaeta
0	0	0	0	0	0	5.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	polychaeta
0	0	0	0	0	0	0	1.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	1.45	1.12	217.7	273.82	0	0	1.75	0	polychaeta
0	0	0	0	0	0	0	1.57	0	0	0	0	0	4.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	polychaeta
0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	polychaeta
0	0	0	0	0	0	0	0	3.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	polychaeta
0	0	0	0	0	0	0	0	0	0	0	0	1.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	polychaeta
0	0	0	0	0	0	0	0	0	0	0	0	0	1.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	polychaeta
