Sea	number_species	margalef	site
D	11	1.561224563	I
D	9	1.270053097	I
D	11	1.473957298	I
D	13	1.841148394	H
D	12	1.686575205	H
D	14	1.904936721	H
D	12	1.589214565	G
D	12	1.65406593	G
D	14	1.961363737	G
C	10	1.444511163	F
C	9	1.238708728	F
C	10	1.497799935	F
C	12	1.664648753	D
C	8	0.766087329	E
C	9	0.960062657	E
E	12	1.490211634	K
E	8	1.068060898	K
E	12	1.445964043	J
E	9	1.07364656	J
E	12	1.567708693	J
E	11	1.3279366	L
E	12	1.562380959	L
F	8	0.818357588	M
F	8	0.829736143	O
F	9	0.870624137	N
F	10	0.992315285	N
A	6	0.694547542	B
A	6	0.645002717	B
A	7	0.8160555	A
G	11	1.907760899	P
G	10	1.829275385	Q
G	11	1.76370547	Q
G	7	1.253265869	Q
B	17	2.090807509	C
B	16	1.797232063	C
