PORIFERA	GASTROPODA	BIVALVIA	OTHER_MOLL	POLYCHAETA	OSTROCODA	AMPHIPODA	COPEPODA	DECAPODA	ISOPODA	PYCNYGONIDAE	OPHIUROID	ECHINOID	ASCIDIAN	PLATYHELMINTHES	SIPUNCULAN	NEMATODE	OLIGOCHAETA	ANEMONE	BARNACLE	NEMERTEAN	FISH	STOMATOPOD	CRINOID	ASTEROID	HOLOTHUROID
22	58	39	0	48	123	274	0	13	4	1	20	0	3	0	0	0	0	0	0	0	0	0	0	0	0
30	56	106	0	153	64	17	0	50	1	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	301	74	0	76	240	80	0	52	0	1	44	1	5	0	0	0	0	0	0	0	0	0	0	0	0
11	61	409	0	85	29	12	1	38	1	0	24	1	4	1	0	0	0	0	0	0	0	0	0	0	0
70	101	317	0	65	42	4	0	33	0	1	37	2	7	1	0	0	0	0	0	0	0	0	0	0	0
31	25	254	0	100	43	300	6	85	5	2	66	1	1	0	1	0	0	0	0	0	0	0	0	0	0
25	106	338	0	91	128	271	0	22	4	0	24	0	1	2	0	2	0	0	0	0	0	0	0	0	0
33	225	142	1	135	35	89	2	51	1	0	58	0	0	1	0	0	0	0	0	0	0	0	0	0	0
19	140	132	0	123	101	133	3	56	12	2	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0
4	97	37	0	97	0	56	0	32	0	1	34	0	1	0	0	0	149	0	0	0	0	0	0	0	0
3	220	32	0	105	0	89	0	45	0	1	27	0	0	0	0	0	116	0	0	0	0	0	0	0	0
6	57	46	0	99	0	90	0	17	1	0	5	0	0	0	2	0	84	0	0	0	0	0	0	0	0
24	314	69	6	58	0	92	0	158	1	0	11	0	2	0	1	0	5	0	0	0	0	0	0	0	0
6	40	54	0	77	0	9100	0	17	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
11	21	131	0	72	0	3880	0	35	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1	23	361	0	43	0	968	0	29	8	3	156	1	0	0	0	12	0	1	0	0	0	0	0	0	0
0	13	96	0	81	0	470	0	16	15	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	8	1344	0	114	2	269	0	50	7	5	206	0	0	1	0	5	0	2	0	0	0	0	0	0	0
1	36	1158	0	155	0	45	0	75	3	0	223	0	0	0	0	26	0	0	0	0	0	0	0	0	0
2	24	627	0	109	0	57	0	95	19	1	159	0	0	1	0	20	0	1	0	0	0	0	0	0	0
6	61	1139	0	75	0	323	0	33	15	4	199	0	0	2	0	7	0	0	0	0	0	0	0	0	0
2	24	656	0	109	0	74	0	11	2	1	230	0	1	2	0	30	0	0	0	0	0	0	0	0	0
0	6	4460	0	507	0	69	0	101	0	0	0	0	0	0	0	20	0	0	21	2	0	0	0	0	0
0	35	3658	0	500	0	18	0	176	0	0	0	0	0	1	0	168	0	0	56	0	0	0	0	0	0
0	45	8855	0	563	0	58	0	133	0	0	0	0	0	9	0	92	0	0	28	4	0	0	0	0	0
0	72	7862	1	373	0	76	0	154	0	0	0	0	0	2	0	68	0	0	79	1	0	0	0	0	0
0	0	652	0	12	0	608	0	0	9	0	0	0	0	0	0	3	0	0	54	0	0	0	0	0	0
0	0	692	0	8	0	1576	0	0	5	0	0	0	0	0	0	6	0	0	39	0	0	0	0	0	0
0	2	1357	0	13	0	22	0	0	3	0	0	0	0	0	0	6	0	0	157	0	0	0	0	0	0
2	14	11	1	71	0	48	0	28	6	0	0	3	0	0	2	0	0	0	0	0	3	0	0	0	0
0	3	3	0	109	0	6	0	6	3	0	2	0	0	0	2	2	0	0	0	0	0	1	0	0	0
1	10	0	0	183	0	38	0	38	7	0	6	1	1	0	1	0	0	0	0	0	4	0	0	0	0
0	4	4	1	95	0	10	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	51	802	0	686	1	153	3	51	16	57	79	0	125	0	0	1	49	0	0	6	0	0	1	10	15
0	54	2382	0	1100	0	275	1	31	10	44	140	9	44	0	0	25	34	0	0	11	0	0	0	26	28
