region	number_OTU	total	margalef
Biscay	127	8273	13.96779263
Biscay	166	8273	18.29115702
Biscay	122	8273	13.41351515
Biscay	68	8273	7.427318303
Biscay	84	8273	9.201006257
Biscay	134	8273	14.74378111
Gulf_of_Lions	128	8273	14.07864813
Gulf_of_Lions	168	8273	18.51286801
Gulf_of_Lions	146	8273	16.07404707
Gulf_of_Lions	86	8273	9.422717251
Gulf_of_Lions	98	8273	10.75298322
Gulf_of_Lions	145	8273	15.96319158
Gulf_of_Lions	132	8273	14.52207012
Gulf_of_Lions	164	8273	18.06944602
Gulf_of_Lions	178	8273	19.62142298
Adriatic	104	8273	11.4181162
Adriatic	82	8273	8.979295262
Adriatic	86	8273	9.422717251
Adriatic	84	8273	9.201006257
Adriatic	73	8273	7.981595789
Adriatic	76	8273	8.31416228
Adriatic	123	8273	13.52437064
Black	68	8273	7.427318303
Black	66	8273	7.205607309
Black	55	8273	5.986196842
Black	70	8273	7.649029298
Red	112	8273	12.30496017
Red	65	8273	7.094751812
Red	75	8273	8.203306783
Red	67	8273	7.316462806
Baltic	52	8273	5.65363035
Baltic	70	8273	7.649029298
Baltic	56	8540.3	6.075635197
			
			
			
			
			
			
			
			
