margalef	region
1.101559398	Biscay
1.542183158	Biscay
0.954684812	Biscay
0.660935639	Biscay
1.174996691	Biscay
1.101559398	Biscay
1.321871278	Gulf_of_Lions
1.248433985	Gulf_of_Lions
1.101559398	Gulf_of_Lions
1.174996691	Gulf_of_Lions
1.101559398	Gulf_of_Lions
1.395308571	Gulf_of_Lions
1.174996691	Gulf_of_Lions
1.395308571	Gulf_of_Lions
1.321871278	Gulf_of_Lions
0.881247519	Adriatic
0.734372932	Adriatic
0.881247519	Adriatic
1.101559398	Adriatic
0.954684812	Adriatic
1.101559398	Adriatic
0.881247519	Adriatic
0.954684812	Black
1.101559398	Black
0.881247519	Black
0.660935639	Black
0.954684812	Red
1.248433985	Red
1.248433985	Red
0.881247519	Red
1.101559398	Baltic
1.468745864	Baltic
1.174996691	Baltic
