asu	read	taxon	weight	region
AZTI.38	3231.9	arthro	21.62	AZTI
AZTI.39	6444.65	arthro	20.27	AZTI
AZTI.40	2156.97	arthro	0.43	AZTI
AZTI.41	240.45	arthro	0.73	AZTI
AZTI.42	5453.02	arthro	0.49	AZTI
AZTI.43	5932.82	arthro	1.32	AZTI
CNRS.A1	2416.5	arthro	1.23	CNRS
CNRS.A2	1843.74	arthro	1.14	CNRS
CNRS.A3	4201.47	arthro	1.19	CNRS
CNRS.N1	3114.83	arthro	0.46	CNRS
CNRS.N2	7147.12	arthro	0.53	CNRS
CNRS.N3	5655.38	arthro	1.86	CNRS
CNRS.S1	5179.71	arthro	0.94	CNRS
CNRS.S2	5369.01	arthro	1.98	CNRS
CNRS.S3	4828	arthro	1.28	CNRS
CONISMA.1	6109.66	arthro	5.96	CONISMA
CONISMA.2	4533.16	arthro	0.93	CONISMA
CONISMA.3	5944.82	arthro	1.1	CONISMA
CONISMA.4	3283.92	arthro	0.97	CONISMA
CONISMA.5	2976.82	arthro	1.02	CONISMA
CONISMA.6	2056.71	arthro	0.75	CONISMA
CONISMA.7	954.01	arthro	0.94	CONISMA
IOBAS.ALA	99.57	arthro	2.8	IOBAS
IOBAS.CHEA	428.91	arthro	3.46	IOBAS
IOBAS.CHEB	93.13	arthro	3.28	IOBAS
IOBAS.KAM	35.45	arthro	3.97	IOBAS
KAUST.A1	6292.49	arthro	0.47	KAUST
KAUST.C1	272.53	arthro	0.09	KAUST
KAUST.C2	288.18	arthro	0.72	KAUST
KAUST.C3	3857.3	arthro	0.08	KAUST
KUCORPI.KAR	7983.77	arthro	10.99	KUCORPI
KUCORPI.PAL1	7545.93	arthro	12.42	KUCORPI
KUCORPI.PAL2	6162.98	arthro	6.69	KUCORPI
AZTI.38	248.01	mollusca	1.11	AZTI
AZTI.39	438	mollusca	1.81	AZTI
AZTI.40	1160.59	mollusca	0.71	AZTI
AZTI.41	6862.88	mollusca	1.8	AZTI
AZTI.42	64.78	mollusca	1.24	AZTI
AZTI.43	147.06	mollusca	2.45	AZTI
CNRS.A1	79.02	mollusca	3.43	CNRS
CNRS.A2	201.86	mollusca	1.99	CNRS
CNRS.A3	93.59	mollusca	2.55	CNRS
CNRS.N1	1125.15	mollusca	4.7	CNRS
CNRS.N2	226.77	mollusca	2.97	CNRS
CNRS.N3	675.11	mollusca	1.56	CNRS
CNRS.S1	224.19	mollusca	0.86	CNRS
CNRS.S2	284.93	mollusca	3.37	CNRS
CNRS.S3	96.17	mollusca	0.91	CNRS
CONISMA.1	122.47	mollusca	30.8	CONISMA
CONISMA.2	21.4	mollusca	13.97	CONISMA
CONISMA.3	0.57	mollusca	44.98	CONISMA
CONISMA.4	10.82	mollusca	134.24	CONISMA
CONISMA.5	7.69	mollusca	68.31	CONISMA
CONISMA.6	16.54	mollusca	28.57	CONISMA
CONISMA.7	5.69	mollusca	20.66	CONISMA
IOBAS.ALA	1.33	mollusca	72.73	IOBAS
IOBAS.CHEA	9.14	mollusca	163.8	IOBAS
IOBAS.CHEB	2.73	mollusca	111.06	IOBAS
IOBAS.KAM	8.7	mollusca	72.01	IOBAS
KAUST.A1	609.93	mollusca	0.4	KAUST
KAUST.C1	657.55	mollusca	0.06	KAUST
KAUST.C2	5685.89	mollusca	0.3	KAUST
KAUST.C3	4026.14	mollusca	0.23	KAUST
KUCORPI.KAR	17.21	mollusca	42.69	KUCORPI
KUCORPI.PAL1	107.69	mollusca	33.68	KUCORPI
KUCORPI.PAL2	464.57	mollusca	23.15	KUCORPI
AZTI.38	2.76	echino	0.01	AZTI
AZTI.39	158.13	echino	0.06	AZTI
AZTI.40	3.29	echino	0.12	AZTI
AZTI.41	8.58	echino	0.37	AZTI
AZTI.42	1285.18	echino	0.04	AZTI
AZTI.43	321.04	echino	0.11	AZTI
CNRS.A1	1711.15	echino	0.14	CNRS
CNRS.A2	2428.09	echino	0.49	CNRS
CNRS.A3	601.8	echino	1.03	CNRS
CNRS.N1	126.76	echino	0.81	CNRS
CNRS.N2	422.55	echino	2.27	CNRS
CNRS.N3	169.9	echino	3.09	CNRS
CNRS.S1	966.43	echino	0.75	CNRS
CNRS.S2	352.96	echino	0.72	CNRS
CNRS.S3	1891.34	echino	0.18	CNRS
CONISMA.1	474.66	echino	1.39	CONISMA
CONISMA.2	86.54	echino	0.03	CONISMA
CONISMA.3	40.64	echino	2.52	CONISMA
CONISMA.4	57.27	echino	1.13	CONISMA
CONISMA.5	33.11	echino	0.75	CONISMA
CONISMA.6	26.99	echino	0.94	CONISMA
CONISMA.7	409.83	echino	1.37	CONISMA
IOBAS.ALA	1.46	echino	0	IOBAS
IOBAS.CHEA	1.73	echino	0	IOBAS
IOBAS.CHEB	0	echino	0	IOBAS
