"amphipoda" "annelida" "anthozoa" "arachnida" "arthropoda" "ascidea" "bivalvia" "bryozoa" "chordata" "cirrepedia" "cnidaria" "copepoda" "decapoda" "echinodermata" "echinoidea" "fish" "gastropoda" "holothuroidea" "hydrozoa" "insecta" "isoposa" "malacostra" "maxillopoda" "mollusca" "nematoda" "nemertea" "oligochaeta" "ophiuroidea" "platyhelminthes" "polychaeta" "polyplacophora" "porifera" "pycnogonidae" "sipuncula" "stomatopoda" "unclassified"
"AZTI.38" 2642.59 4.15 0 0 440.8 0 200.59 0 0 4.04 0 1.86 165.5 0 0 0 37.33 0 57.1 3.6 0 0 0 13.68 0 0 0 3.16 0 4109.62 0 0 0 0 0 588.98
"AZTI.39" 4170.05 0 0 0 183.31 5.69 0.67 4.19 3.33 10.95 0 0 2090.38 1.44 0 0 382.82 0 212.5 36.65 0 0 4.77 56.31 0 35.54 0 159.21 0 358.37 0 2.76 4.89 4.8 0 544.37
"AZTI.40" 554.24 0 15.6 0 39.67 1.21 43.08 0 46.99 0 0 0 1570.77 0 0 0 1064.13 0 3.17 9.64 0 0 0 59.14 0 0 0 3.23 0 2446.54 0 0 0 0 0 2415.59
"AZTI.41" 4.31 0 341.06 0 17.69 0 8.03 0 0 2.31 0 0 212.51 0 0 0 6911.47 0 0 6.21 0 0 0 0 0 0 0 8.68 0 625.43 0 0 0 0 0 135.3
"AZTI.42" 545.93 1.18 0 0.55 6.72 2.38 0 0 0 4.12 0 0 4929.99 0 0 0 64.35 0 1.24 6.31 0 4.76 0 0 0 0 0 1296.09 6.58 1367.51 0 0 0 0 0 35.29
"AZTI.43" 161.4 0 3.71 0 38.97 0 2.52 0 0 11.54 1.8 1.19 5755.58 0 0 0 145.15 0 0 12.5 0 1.25 0 1.28 0 0 0 325.67 0 998.35 0 1.08 0 0.63 0 810.38
"CNRS.A1" 186.44 0 2.31 17.41 853.32 222.42 24.5 0 2.16 0 0 0 1364.05 160.48 1.44 0 18.77 0 29.29 13.58 0 0 2.41 35.82 0 0 0 1563.96 0 3010.62 0 37.47 0 12.2 0 714.35
"CNRS.A2" 18.22 1.48 0 0.79 806.6 0 24.93 0 96.49 0 0 0 989.74 1198.37 0 0 77.23 6.73 26.53 10.51 31.19 0 0 102.65 0 0 0 1244.36 0 2632.06 0 3.7 0 0 0 1001.42
"CNRS.A3" 12.82 0 0.72 0 142.31 0 5.12 0 1.51 0 1.56 0 3990.59 123.06 0 0 72.74 0 25.31 5.15 85.93 0 0 14.71 0 2.32 0 483.57 0 2770.07 0.68 0 0 0 0 534.83
"CNRS.N1" 1.46 0 0 0 79.91 23.6 8.47 0 3.69 5.8 0 0 3050.04 0 0 0 2.15 0 2.15 5.11 0 0 0 1126.34 0 0 0 130.24 0 1839.25 0 0 0 16.24 0 1978.55
"CNRS.N2" 15 0 0 0 178 2 11 0 1 18 0 0 6970 0 0 0 218 0 6 30 0 0 0 0 0 70 0 426 0 187 0 2 0 0 0 139
"CNRS.N3" 387.13 0 0 0 1004.31 70.87 490.38 0 95.08 0 3.19 0 4288.97 0 2.95 0 51.7 14.37 1.43 7.55 2.15 9.82 0 137.35 0 0.78 0 158.12 0 763.36 0 3.77 0 0 0 779.72
"CNRS.S1" 14.53 0 0 0 808.74 0 0.81 0 162.69 0 0 0 4324.84 12.55 0 0 185.77 0 11.95 67.26 0 2.28 0 41.08 0 13.91 0 966.88 0 1201.21 0 11.2 0 0 0 447.3
"CNRS.S2" 6.18 2.02 0 0 49.28 0 4.92 4.15 17.53 0 0 0 1315.12 0.68 1.39 0 243.62 0 13.83 4025.8 12.5 0 4.21 40.32 0 0 0 353.67 0 1933 0 1.34 0 1.48 0 241.96
"CNRS.S3" 3.93 0 0 0 227.89 0 1.66 0 3.22 9.69 0 0 4526.48 1.6 0 3.97 92.63 0 90.14 101.68 2.53 0 0 3.24 0 0 0 1907.22 0 1177.87 0 4.03 0 0 0 115.22
"CONISMA.1" 938.72 0 44.15 0 240.87 0 3.59 0 8.12 0 0 0 4984.58 0 0 0 12.51 0 2.35 1.53 0 0 0 107.78 0 26.88 0 477.1 0 840.24 0 0 0 0 0 584.58
"CONISMA.2" 4366.72 0 14.68 0 51.08 0 14.77 0 0 0 0 0 125.8 0 0 0 0 0 0 1.39 0 28.33 0 1.41 0 24.45 0 88.18 0 3444.58 4.99 0 0 0 0 106.62
"CONISMA.3" 325.36 0 12.67 0 121.18 0 0 0 235.55 0 0 0 5552.59 0 0 0 0 0 0 4.4 0 0 0 0.56 0 14.9 0 41.42 0 1931.19 0 0 0 0 0 33.18
"CONISMA.4" 47.86 0 1.4 0 23.99 0 5.31 0 68.61 2.65 0 0 3228.49 0 0 0.64 4 0 0 1.42 0 0 0 1.4 0 22.83 0 58.8 0 4786.21 0 0 0 0 0 19.39
"CONISMA.5" 100.87 0 5.96 0 86.14 0 0 0 8.43 7.49 0 0 2806.98 0 0 0 0 0 0 7.92 0 2.69 0 7.91 0 5.21 0 33.46 0 5168.8 0 0 0 0 0 31.14
"CONISMA.6" 319.77 0 0 0 42.58 0 5.91 0 11.9 11.91 0 0 1698.71 0 0 0 4.9 2.27 0.77 0 0 0 0 6.26 0 9.36 0 25.25 0 4172.76 0 0 0 0 0 1960.65
"CONISMA.7" 33.92 0 1.96 0 142.9 0 0.73 0 114.11 0 0 0 771.88 0 0 0 0 0 3.46 10.87 0 0 0 5.43 0 9.66 0 412.73 0 6727.71 0 2.05 0 0 0 35.59
"IOBAS.ALA" 5.58 0 0 0.72 11.81 0 1.36 1.23 0 3.87 0 0 66.86 0 0 0 0 0 0 10.98 0 0 0 0 0 119.14 0 1.38 0 8023.41 0 0 0 7.98 0 18.68
