margalef	region	site
13.98152973	C	E
18.30914607	C	E
13.42670712	C	F
7.43462295	C	F
9.210055296	C	F
14.75828138	C	D
14.09249425	D	G
18.53107511	D	G
16.08985564	D	G
9.431984339	D	H
10.7635586	D	H
15.86792659	D	H
14.53635233	D	I
18.08721703	D	I
19.64072033	D	I
11.42934573	E	K
8.988126253	E	K
9.431984339	E	J
9.210055296	E	J
7.989445558	E	J
8.322339123	E	L
13.53767164	E	L
7.43462295	F	M
7.212693906	F	N
5.992084168	F	N
7.656551993	F	O
12.3170619	G	P
6.990764863	G	Q
8.211374601	G	Q
7.323658428	G	Q
5.659190603	A	A
7.545587471	A	B
5.881119647	A	B
