margalef	asu	Sea	site
1.442538781	AZTI.38	C	E
2.108325911	AZTI.39	C	E
1.33157426	AZTI.40	C	F
1.109645216	AZTI.41	C	F
1.553503303	AZTI.42	C	F
1.664467825	AZTI.43	C	D
1.997361389	CNRS.A1	D	G
1.886396868	CNRS.A2	D	G
1.664467825	CNRS.A3	D	G
1.553503303	CNRS.N1	D	H
1.553503303	CNRS.N2	D	H
1.886396868	CNRS.N3	D	H
1.664467825	CNRS.S1	D	I
2.108325911	CNRS.S2	D	I
1.775432346	CNRS.S3	D	I
1.33157426	CONISMA.1	E	K
1.33157426	CONISMA.2	E	K
1.109645216	CONISMA.3	E	J
1.553503303	CONISMA.4	E	J
1.33157426	CONISMA.5	E	J
1.442538781	CONISMA.6	E	L
1.33157426	CONISMA.7	E	L
1.33157426	IOBAS.ALA	F	M
1.775432346	IOBAS.CHEA	F	N
1.442538781	IOBAS.CHEB	F	N
0.998680695	IOBAS.KAM	F	O
1.442538781	KAUST.A1	G	P
1.442538781	KAUST.C1	G	Q
1.775432346	KAUST.C2	G	Q
1.220609738	KAUST.C3	G	Q
1.553503303	KUCORPI.KAR	A	A
1.886396868	KUCORPI.PAL1	A	B
1.442538781	KUCORPI.PAL2	A	B
