Sea	asu	read	taxon	weight
Biscay	AZTI.38	3258.39	arthro	21.62
Biscay	AZTI.39	6501	arthro	20.27
Biscay	AZTI.40	2174.32	arthro	0.43
Biscay	AZTI.41	243.03	arthro	0.73
Biscay	AZTI.42	5498.38	arthro	0.49
Biscay	AZTI.43	5982.43	arthro	1.32
Gulf_of_Lions	CNRS.A1	2437.21	arthro	1.23
Gulf_of_Lions	CNRS.A2	1857.05	arthro	1.14
Gulf_of_Lions	CNRS.A3	4236.8	arthro	1.19
Gulf_of_Lions	CNRS.N1	3142.32	arthro	0.46
Gulf_of_Lions	CNRS.N2	7211	arthro	0.53
Gulf_of_Lions	CNRS.N3	5699.93	arthro	1.86
Gulf_of_Lions	CNRS.S1	5217.65	arthro	0.94
Gulf_of_Lions	CNRS.S2	5413.09	arthro	1.98
Gulf_of_Lions	CNRS.S3	4872.2	arthro	1.28
Adriatic	CONISMA.1	6165.7	arthro	5.96
Adriatic	CONISMA.2	4573.32	arthro	0.93
Adriatic	CONISMA.3	6003.53	arthro	1.1
Adriatic	CONISMA.4	3304.41	arthro	0.97
Adriatic	CONISMA.5	3012.09	arthro	1.02
Adriatic	CONISMA.6	2072.97	arthro	0.75
Adriatic	CONISMA.7	959.57	arthro	0.94
Black	IOBAS.ALA	99.82	arthro	2.8
Black	IOBAS.CHEA	430.11	arthro	3.46
Black	IOBAS.CHEB	94.09	arthro	3.28
Black	IOBAS.KAM	35.51	arthro	3.97
Red	KAUST.A1	6351.03	arthro	0.47
Red	KAUST.C1	271.07	arthro	0.09
Red	KAUST.C2	291.5	arthro	0.72
Red	KAUST.C3	3895.9	arthro	0.08
Baltic	KUCORPI.KAR	8054.67	arthro	10.99
Baltic	KUCORPI.PAL1	7580.83	arthro	12.42
Baltic	KUCORPI.PAL2	6148.39	arthro	6.69
Biscay	AZTI.38	251.6	mollusca	1.11
Biscay	AZTI.39	439.8	mollusca	1.81
Biscay	AZTI.40	1166.35	mollusca	0.71
Biscay	AZTI.41	6919.5	mollusca	1.8
Biscay	AZTI.42	64.35	mollusca	1.24
Biscay	AZTI.43	148.95	mollusca	2.45
Gulf_of_Lions	CNRS.A1	79.09	mollusca	3.43
Gulf_of_Lions	CNRS.A2	204.81	mollusca	1.99
Gulf_of_Lions	CNRS.A3	93.25	mollusca	2.55
Gulf_of_Lions	CNRS.N1	1136.96	mollusca	4.7
